Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
225,10-01-2020 19:00,01-10-2020 08:00,11-01-2020 00:10,Bangalore West,153,CYBERCRIME,40,F,Firearm,Other Crime,5,Yes,01-04-2020 19:00
242,11-01-2020 08:00,01-11-2020 01:00,11-01-2020 03:03,Bangalore West,188,VANDALISM,59,F,Blunt Object,Other Crime,1,Yes,12-02-2020 08:00
274,14-01-2020 04:00,01-12-2020 09:00,12-01-2020 14:37,Bangalore North,515,VEHICLE - STOLEN,56,F,None,Violent Crime,6,No,
288,14-01-2020 15:00,01-12-2020 23:00,13-01-2020 01:39,Bangalore North,363,IDENTITY THEFT,30,F,Firearm,Violent Crime,9,Yes,29-03-2020 15:00
295,15-01-2020 15:00,01-13-2020 06:00,13-01-2020 11:43,Bangalore East,568,DOMESTIC VIOLENCE,48,M,Poison,Violent Crime,6,Yes,07-03-2020 15:00
309,14-01-2020 12:00,01-13-2020 20:00,14-01-2020 17:26,Bangalore North,577,SEXUAL ASSAULT,26,M,Firearm,Violent Crime,12,Yes,10-07-2021 12:00
313,15-01-2020 00:00,01-14-2020 00:00,14-01-2020 16:05,Bangalore North,560,DRUG OFFENSE,37,F,Firearm,Other Crime,13,No,
314,15-01-2020 01:00,01-14-2020 01:00,14-01-2020 04:12,Bangalore East,217,ASSAULT,18,F,Firearm,Violent Crime,6,No,
320,16-01-2020 01:00,01-14-2020 07:00,15-01-2020 02:59,Bangalore West,190,ARSON,41,M,Knife,Fire Accident,2,No,
323,15-01-2020 14:00,01-14-2020 10:00,14-01-2020 21:12,Bangalore North,471,ARSON,64,F,Explosives,Fire Accident,18,No,
325,17-01-2020 07:00,01-14-2020 12:00,14-01-2020 20:43,Bangalore West,589,SHOPLIFTING,67,F,Explosives,Other Crime,6,Yes,31-01-2020 07:00
328,14-01-2020 17:00,01-14-2020 15:00,15-01-2020 13:02,Bangalore North,506,BURGLARY,68,M,Firearm,Other Crime,6,No,
335,16-01-2020 01:00,01-14-2020 22:00,15-01-2020 21:18,Bangalore South,331,SHOPLIFTING,77,F,Poison,Other Crime,1,No,
350,16-01-2020 10:00,01-15-2020 13:00,15-01-2020 18:19,Bangalore West,387,PUBLIC INTOXICATION,50,F,Poison,Other Crime,7,Yes,09-02-2020 10:00
370,19-01-2020 04:00,01-16-2020 09:00,17-01-2020 02:08,Bangalore North,213,COUNTERFEITING,28,M,Poison,Other Crime,19,Yes,29-03-2020 04:00
413,20-01-2020 02:00,01-18-2020 04:00,18-01-2020 21:47,Bangalore North,213,VEHICLE - STOLEN,60,F,Other,Violent Crime,12,Yes,19-02-2020 02:00
428,19-01-2020 00:00,01-18-2020 19:00,18-01-2020 20:36,Bangalore East,250,FIREARM OFFENSE,33,F,Poison,Fire Accident,3,Yes,23-03-2020 00:00
481,21-01-2020 11:00,01-21-2020 00:00,21-01-2020 21:30,Bangalore East,552,SEXUAL ASSAULT,39,F,None,Violent Crime,9,Yes,03-12-2020 11:00
499,23-01-2020 16:00,01-21-2020 18:00,21-01-2020 21:14,Bangalore South,401,BURGLARY,31,F,Explosives,Other Crime,3,Yes,13-06-2020 16:00
502,22-01-2020 14:00,01-21-2020 21:00,22-01-2020 00:42,Bangalore North,485,IDENTITY THEFT,59,F,Blunt Object,Violent Crime,4,No,
503,23-01-2020 15:00,01-21-2020 22:00,22-01-2020 20:41,Bangalore South,541,ASSAULT,41,F,Blunt Object,Violent Crime,1,No,
518,24-01-2020 14:00,01-22-2020 13:00,23-01-2020 03:41,Bangalore South,371,HOMICIDE,19,F,None,Other Crime,4,No,
530,25-01-2020 02:00,01-23-2020 01:00,23-01-2020 21:54,Bangalore North,423,KIDNAPPING,22,F,Poison,Other Crime,5,No,
559,27-01-2020 01:00,01-24-2020 06:00,24-01-2020 16:08,Bangalore East,290,ROBBERY,53,F,Knife,Violent Crime,7,No,
572,25-01-2020 10:00,01-24-2020 19:00,24-01-2020 23:58,Bangalore North,264,ARSON,75,F,None,Fire Accident,4,No,
581,26-01-2020 11:00,01-25-2020 04:00,26-01-2020 00:29,Bangalore North,355,PUBLIC INTOXICATION,72,M,Firearm,Other Crime,2,No,
592,26-01-2020 10:00,01-25-2020 15:00,26-01-2020 05:35,Bangalore South,500,ROBBERY,20,F,Poison,Violent Crime,14,No,
593,26-01-2020 04:00,01-25-2020 16:00,26-01-2020 14:05,Bangalore North,452,CYBERCRIME,65,F,Other,Other Crime,8,No,
596,28-01-2020 16:00,01-25-2020 19:00,26-01-2020 15:56,Bangalore West,509,SHOPLIFTING,11,F,Poison,Other Crime,9,Yes,11-03-2020 16:00
599,26-01-2020 12:00,01-25-2020 22:00,26-01-2020 19:04,Bangalore North,375,DOMESTIC VIOLENCE,70,M,Explosives,Violent Crime,9,Yes,02-04-2020 12:00
605,28-01-2020 10:00,01-26-2020 04:00,26-01-2020 17:06,Bangalore West,297,TRAFFIC VIOLATION,78,F,Knife,Traffic Fatality,15,No,
608,28-01-2020 15:00,01-26-2020 07:00,26-01-2020 16:31,Bangalore West,101,BURGLARY,70,M,Poison,Other Crime,13,No,
619,27-01-2020 11:00,01-26-2020 18:00,27-01-2020 16:50,Bangalore South,402,COUNTERFEITING,25,M,Other,Other Crime,18,No,
642,28-01-2020 19:00,01-27-2020 17:00,28-01-2020 08:20,Bangalore North,354,DRUG OFFENSE,75,F,Knife,Other Crime,5,No,
654,31-01-2020 01:00,01-28-2020 05:00,28-01-2020 23:25,Bangalore South,564,BURGLARY,38,M,Other,Other Crime,18,No,
674,30-01-2020 07:00,01-29-2020 01:00,29-01-2020 23:53,Bangalore South,396,KIDNAPPING,56,F,Other,Other Crime,13,No,
690,31-01-2020 11:00,01-29-2020 17:00,29-01-2020 22:07,Bangalore South,158,ILLEGAL POSSESSION,59,F,Firearm,Other Crime,19,No,
692,01-02-2020 06:00,01-29-2020 19:00,30-01-2020 06:10,Bangalore East,593,SEXUAL ASSAULT,62,M,Poison,Violent Crime,6,No,
714,31-01-2020 23:00,01-30-2020 17:00,30-01-2020 17:34,Bangalore South,186,ARSON,10,F,Other,Fire Accident,16,Yes,09-04-2020 23:00
716,02-02-2020 16:00,01-30-2020 19:00,31-01-2020 06:07,Bangalore West,593,PUBLIC INTOXICATION,30,M,Firearm,Other Crime,3,Yes,29-02-2020 16:00
722,31-01-2020 16:00,01-31-2020 01:00,31-01-2020 11:31,Bangalore North,403,ARSON,46,F,Knife,Fire Accident,13,Yes,15-03-2020 16:00
728,01-02-2020 05:00,01-31-2020 07:00,01-02-2020 00:37,Bangalore South,206,PUBLIC INTOXICATION,56,F,Other,Other Crime,9,No,
730,02-02-2020 08:00,01-31-2020 09:00,31-01-2020 22:24,Bangalore East,546,CYBERCRIME,11,F,Poison,Other Crime,3,Yes,27-04-2020 08:00
732,01-02-2020 18:00,01-31-2020 11:00,31-01-2020 22:08,Bangalore North,284,ASSAULT,51,F,Blunt Object,Violent Crime,11,Yes,14-03-2020 18:00
733,01-02-2020 12:00,01-31-2020 12:00,31-01-2020 23:08,Bangalore North,529,KIDNAPPING,33,M,Firearm,Other Crime,4,No,
740,02-02-2020 02:00,01-31-2020 19:00,01-02-2020 09:41,Bangalore West,292,PUBLIC INTOXICATION,22,F,Firearm,Other Crime,3,Yes,04-02-2020 02:00
741,02-02-2020 07:00,01-31-2020 20:00,01-02-2020 18:16,Bangalore South,428,COUNTERFEITING,78,F,Poison,Other Crime,6,Yes,18-02-2020 07:00
745,03-02-2020 11:00,02-01-2020 00:00,01-02-2020 23:29,Bangalore West,439,FRAUD,43,F,Knife,Other Crime,3,Yes,20-03-2020 11:00
806,05-02-2020 14:00,02-03-2020 13:00,03-02-2020 18:22,Bangalore East,438,SHOPLIFTING,15,M,Other,Other Crime,14,No,
808,06-02-2020 07:00,02-03-2020 15:00,03-02-2020 22:21,Bangalore West,546,COUNTERFEITING,57,M,Blunt Object,Other Crime,2,Yes,19-03-2020 07:00
826,05-02-2020 05:00,02-04-2020 09:00,04-02-2020 09:21,Bangalore South,204,PUBLIC INTOXICATION,68,F,Knife,Other Crime,4,Yes,27-02-2020 05:00
853,06-02-2020 14:00,02-05-2020 12:00,06-02-2020 10:14,Bangalore West,422,VANDALISM,13,M,Explosives,Other Crime,19,Yes,16-02-2020 14:00
859,07-02-2020 08:00,02-05-2020 18:00,06-02-2020 05:35,Bangalore West,271,BURGLARY,72,F,None,Other Crime,11,No,
872,07-02-2020 08:00,02-06-2020 07:00,07-02-2020 00:30,Bangalore East,548,IDENTITY THEFT,60,F,Other,Violent Crime,12,No,
881,09-02-2020 00:00,02-06-2020 16:00,06-02-2020 23:22,Bangalore North,180,IDENTITY THEFT,25,F,Poison,Violent Crime,1,Yes,08-03-2020 00:00
887,08-02-2020 10:00,02-06-2020 22:00,07-02-2020 05:01,Bangalore South,547,ARSON,62,M,Firearm,Fire Accident,1,No,
889,09-02-2020 00:00,02-07-2020 00:00,07-02-2020 19:36,Bangalore North,258,IDENTITY THEFT,79,F,Explosives,Violent Crime,10,Yes,30-03-2020 00:00
895,08-02-2020 06:00,02-07-2020 06:00,08-02-2020 00:09,Bangalore West,532,DOMESTIC VIOLENCE,49,F,Poison,Violent Crime,10,Yes,01-03-2020 06:00
898,09-02-2020 05:00,02-07-2020 09:00,07-02-2020 18:38,Bangalore West,387,ARSON,76,F,Blunt Object,Fire Accident,12,Yes,15-03-2020 05:00
906,10-02-2020 07:00,02-07-2020 17:00,08-02-2020 03:52,Bangalore South,274,EXTORTION,17,F,Firearm,Other Crime,13,Yes,21-04-2020 07:00
910,08-02-2020 06:00,02-07-2020 21:00,08-02-2020 15:27,Bangalore South,356,DRUG OFFENSE,29,M,Explosives,Other Crime,1,No,
934,11-02-2020 01:00,02-08-2020 21:00,09-02-2020 20:43,Bangalore North,310,BURGLARY,49,F,Blunt Object,Other Crime,14,No,
947,11-02-2020 00:00,02-09-2020 10:00,10-02-2020 07:12,Bangalore South,108,VANDALISM,76,M,Poison,Other Crime,1,No,
971,12-02-2020 12:00,02-10-2020 10:00,10-02-2020 16:33,Bangalore West,372,VEHICLE - STOLEN,32,M,None,Violent Crime,15,No,
973,10-02-2020 15:00,02-10-2020 12:00,11-02-2020 00:37,Bangalore South,410,VANDALISM,72,M,Blunt Object,Other Crime,16,No,
1003,13-02-2020 10:00,02-11-2020 18:00,12-02-2020 15:44,Bangalore East,393,SHOPLIFTING,21,F,Blunt Object,Other Crime,13,No,
1017,13-02-2020 00:00,02-12-2020 08:00,12-02-2020 22:00,Bangalore East,575,SHOPLIFTING,34,F,Firearm,Other Crime,9,No,
1024,15-02-2020 03:00,02-12-2020 15:00,13-02-2020 03:56,Bangalore North,471,DRUG OFFENSE,56,M,Poison,Other Crime,6,Yes,03-04-2020 03:00
1040,14-02-2020 00:00,02-13-2020 07:00,13-02-2020 15:11,Bangalore East,138,VEHICLE - STOLEN,10,F,None,Violent Crime,10,Yes,11-05-2020 00:00
1045,15-02-2020 10:00,02-13-2020 12:00,13-02-2020 20:53,Bangalore North,538,TRAFFIC VIOLATION,35,F,Knife,Traffic Fatality,10,No,
1061,14-02-2020 22:00,02-14-2020 04:00,14-02-2020 06:18,Bangalore North,333,FIREARM OFFENSE,42,F,None,Fire Accident,11,No,
1082,16-02-2020 05:00,02-15-2020 01:00,15-02-2020 17:41,Bangalore East,184,BURGLARY,66,M,Explosives,Other Crime,5,Yes,10-04-2020 05:00
1100,16-02-2020 13:00,02-15-2020 19:00,16-02-2020 12:33,Bangalore East,305,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,1,No,
1108,18-02-2020 10:00,02-16-2020 03:00,16-02-2020 05:18,Bangalore South,127,ASSAULT,46,F,Other,Violent Crime,9,Yes,16-03-2020 10:00
1123,17-02-2020 12:00,02-16-2020 18:00,17-02-2020 07:20,Bangalore West,318,IDENTITY THEFT,27,F,Explosives,Violent Crime,14,No,
1127,19-02-2020 10:00,02-16-2020 22:00,16-02-2020 23:38,Bangalore East,334,EXTORTION,63,M,Other,Other Crime,3,Yes,21-03-2020 10:00
1133,19-02-2020 14:00,02-17-2020 04:00,17-02-2020 21:35,Bangalore West,417,ILLEGAL POSSESSION,60,M,Poison,Other Crime,9,Yes,05-04-2020 14:00
1157,20-02-2020 20:00,02-18-2020 04:00,18-02-2020 07:53,Bangalore West,577,TRAFFIC VIOLATION,26,F,Knife,Traffic Fatality,12,Yes,13-03-2020 20:00
1165,18-02-2020 23:00,02-18-2020 12:00,19-02-2020 07:37,Bangalore South,210,FIREARM OFFENSE,57,F,Poison,Fire Accident,1,Yes,11-03-2020 23:00
1178,19-02-2020 14:00,02-19-2020 01:00,19-02-2020 21:47,Bangalore East,137,KIDNAPPING,70,F,None,Other Crime,8,No,
1188,20-02-2020 05:00,02-19-2020 11:00,19-02-2020 11:18,Bangalore South,424,HOMICIDE,70,F,Blunt Object,Other Crime,19,Yes,01-08-2021 05:00
1197,21-02-2020 00:00,02-19-2020 20:00,20-02-2020 02:14,Bangalore North,410,CYBERCRIME,65,F,Blunt Object,Other Crime,5,Yes,06-04-2020 00:00
1212,22-02-2020 07:00,02-20-2020 11:00,20-02-2020 18:47,Bangalore North,572,FIREARM OFFENSE,76,M,Blunt Object,Fire Accident,8,No,
1220,21-02-2020 21:00,02-20-2020 19:00,20-02-2020 19:21,Bangalore North,445,SHOPLIFTING,79,M,Explosives,Other Crime,17,No,
1224,23-02-2020 03:00,02-20-2020 23:00,21-02-2020 01:04,Bangalore West,302,DRUG OFFENSE,59,F,None,Other Crime,5,No,
1238,21-02-2020 19:00,02-21-2020 13:00,21-02-2020 14:07,Bangalore North,201,ASSAULT,51,F,Blunt Object,Violent Crime,10,Yes,08-04-2020 19:00
1252,24-02-2020 04:00,02-22-2020 03:00,22-02-2020 11:46,Bangalore East,411,ILLEGAL POSSESSION,30,F,None,Other Crime,3,Yes,25-04-2020 04:00
1260,24-02-2020 08:00,02-22-2020 11:00,23-02-2020 05:48,Bangalore East,234,CYBERCRIME,65,M,Firearm,Other Crime,1,Yes,23-04-2020 08:00
1268,25-02-2020 09:00,02-22-2020 19:00,23-02-2020 01:50,Bangalore West,372,ROBBERY,36,F,None,Violent Crime,19,No,
1318,26-02-2020 09:00,02-24-2020 21:00,24-02-2020 23:06,Bangalore North,101,CYBERCRIME,31,F,Other,Other Crime,16,Yes,15-05-2020 09:00
1319,25-02-2020 06:00,02-24-2020 22:00,25-02-2020 03:18,Bangalore West,207,ARSON,52,F,Explosives,Fire Accident,18,Yes,01-04-2020 06:00
1322,25-02-2020 19:00,02-25-2020 01:00,25-02-2020 09:52,Bangalore East,575,ASSAULT,68,F,Blunt Object,Violent Crime,8,Yes,16-04-2020 19:00
1330,25-02-2020 18:00,02-25-2020 09:00,26-02-2020 02:42,Bangalore West,136,DOMESTIC VIOLENCE,27,F,Explosives,Violent Crime,3,No,
1337,27-02-2020 02:00,02-25-2020 16:00,26-02-2020 13:00,Bangalore East,301,CYBERCRIME,48,M,Explosives,Other Crime,12,No,
1359,27-02-2020 14:00,02-26-2020 14:00,27-02-2020 03:47,Bangalore West,125,ASSAULT,29,F,Firearm,Violent Crime,3,No,
1365,29-02-2020 03:00,02-26-2020 20:00,27-02-2020 18:31,Bangalore South,298,PUBLIC INTOXICATION,26,F,Poison,Other Crime,9,No,
1368,28-02-2020 12:00,02-26-2020 23:00,27-02-2020 20:48,Bangalore East,128,SEXUAL ASSAULT,37,F,Other,Violent Crime,5,No,
1377,28-02-2020 05:00,02-27-2020 08:00,28-02-2020 03:41,Bangalore East,357,ARSON,75,F,Explosives,Fire Accident,4,Yes,13-04-2020 05:00
1396,01-03-2020 22:00,02-28-2020 03:00,29-02-2020 02:18,Bangalore North,414,EXTORTION,36,F,Knife,Other Crime,5,Yes,26-05-2020 22:00
1399,02-03-2020 02:00,02-28-2020 06:00,28-02-2020 22:17,Bangalore West,194,ASSAULT,46,F,None,Violent Crime,13,Yes,27-03-2020 02:00
1401,29-02-2020 20:00,02-28-2020 08:00,28-02-2020 10:23,Bangalore West,387,SHOPLIFTING,13,F,Explosives,Other Crime,12,Yes,16-03-2020 20:00
1416,02-03-2020 08:00,02-28-2020 23:00,29-02-2020 05:17,Bangalore North,133,FIREARM OFFENSE,36,M,Other,Fire Accident,15,No,
1427,29-02-2020 18:00,02-29-2020 10:00,01-03-2020 03:28,Bangalore West,150,SHOPLIFTING,72,F,Other,Other Crime,9,Yes,23-05-2020 18:00
1438,02-03-2020 01:00,02-29-2020 21:00,01-03-2020 07:09,Bangalore East,537,BURGLARY,62,M,Poison,Other Crime,8,Yes,03-04-2020 01:00
1439,03-03-2020 13:00,02-29-2020 22:00,01-03-2020 20:32,Bangalore East,170,PUBLIC INTOXICATION,36,M,Firearm,Other Crime,12,Yes,21-03-2020 13:00
1440,02-03-2020 04:00,02-29-2020 23:00,01-03-2020 15:29,Bangalore West,188,EXTORTION,50,F,Other,Other Crime,16,Yes,12-03-2020 04:00
1465,04-03-2020 20:00,03-02-2020 00:00,02-03-2020 14:38,Bangalore South,225,CYBERCRIME,48,F,Knife,Other Crime,10,No,
1491,05-03-2020 18:00,03-03-2020 02:00,04-03-2020 01:12,Bangalore North,287,ASSAULT,39,F,Explosives,Violent Crime,16,No,
1492,04-03-2020 09:00,03-03-2020 03:00,03-03-2020 20:51,Bangalore East,276,PUBLIC INTOXICATION,76,F,Knife,Other Crime,6,Yes,11-03-2020 09:00
1500,03-03-2020 14:00,03-03-2020 11:00,04-03-2020 08:32,Bangalore South,549,DOMESTIC VIOLENCE,24,F,Blunt Object,Violent Crime,18,Yes,09-05-2020 14:00
1545,05-03-2020 12:00,03-05-2020 08:00,05-03-2020 08:57,Bangalore West,530,DOMESTIC VIOLENCE,79,F,Firearm,Violent Crime,13,No,
1553,07-03-2020 04:00,03-05-2020 16:00,06-03-2020 07:26,Bangalore South,418,ARSON,60,F,Explosives,Fire Accident,19,Yes,06-05-2020 04:00
1556,08-03-2020 03:00,03-05-2020 19:00,05-03-2020 22:31,Bangalore East,581,ASSAULT,30,M,Explosives,Violent Crime,4,No,
1568,07-03-2020 07:00,03-06-2020 07:00,06-03-2020 23:18,Bangalore South,405,SEXUAL ASSAULT,54,M,Other,Violent Crime,12,No,
1575,07-03-2020 03:00,03-06-2020 14:00,07-03-2020 05:27,Bangalore West,222,KIDNAPPING,47,F,Firearm,Other Crime,3,No,
1582,09-03-2020 14:00,03-06-2020 21:00,07-03-2020 06:01,Bangalore South,105,HOMICIDE,20,F,Blunt Object,Other Crime,14,No,
1592,09-03-2020 20:00,03-07-2020 07:00,08-03-2020 03:43,Bangalore East,344,FRAUD,14,F,Explosives,Other Crime,5,Yes,10-05-2020 20:00
1594,08-03-2020 03:00,03-07-2020 09:00,08-03-2020 05:33,Bangalore West,227,PUBLIC INTOXICATION,48,M,Explosives,Other Crime,5,No,
1605,09-03-2020 14:00,03-07-2020 20:00,08-03-2020 01:30,Bangalore East,237,TRAFFIC VIOLATION,40,F,Explosives,Traffic Fatality,7,No,
1610,10-03-2020 06:00,03-08-2020 01:00,08-03-2020 04:14,Bangalore West,492,HOMICIDE,51,F,Other,Other Crime,19,No,
1613,09-03-2020 03:00,03-08-2020 04:00,08-03-2020 19:12,Bangalore West,166,VEHICLE - STOLEN,49,F,None,Violent Crime,17,Yes,24-05-2020 03:00
1629,09-03-2020 02:00,03-08-2020 20:00,09-03-2020 07:53,Bangalore North,324,KIDNAPPING,16,M,Blunt Object,Other Crime,1,Yes,12-04-2020 02:00
1644,10-03-2020 13:00,03-09-2020 11:00,09-03-2020 14:59,Bangalore South,315,KIDNAPPING,22,F,Knife,Other Crime,12,No,
1646,10-03-2020 16:00,03-09-2020 13:00,10-03-2020 06:01,Bangalore East,551,BURGLARY,12,F,Poison,Other Crime,7,No,
1647,12-03-2020 10:00,03-09-2020 14:00,10-03-2020 03:13,Bangalore East,225,BURGLARY,38,F,Blunt Object,Other Crime,9,Yes,30-06-2020 10:00
1650,11-03-2020 06:00,03-09-2020 17:00,10-03-2020 13:20,Bangalore South,107,DOMESTIC VIOLENCE,64,F,Poison,Violent Crime,8,Yes,19-04-2020 06:00
1661,13-03-2020 02:00,03-10-2020 04:00,10-03-2020 08:26,Bangalore West,410,IDENTITY THEFT,39,F,Other,Violent Crime,11,No,
1667,12-03-2020 16:00,03-10-2020 10:00,10-03-2020 15:12,Bangalore East,170,BURGLARY,28,F,Blunt Object,Other Crime,17,Yes,11-08-2020 16:00
1679,10-03-2020 23:00,03-10-2020 22:00,11-03-2020 05:00,Bangalore North,559,FIREARM OFFENSE,61,M,Explosives,Fire Accident,4,Yes,30-05-2020 23:00
1699,13-03-2020 13:00,03-11-2020 18:00,12-03-2020 09:23,Bangalore North,209,ASSAULT,15,M,Firearm,Violent Crime,1,No,
1703,13-03-2020 20:00,03-11-2020 22:00,12-03-2020 12:08,Bangalore South,326,FRAUD,31,M,Blunt Object,Other Crime,5,Yes,29-04-2020 20:00
1705,14-03-2020 09:00,03-12-2020 00:00,12-03-2020 05:50,Bangalore East,597,PUBLIC INTOXICATION,76,F,Other,Other Crime,8,No,
1709,12-03-2020 20:00,03-12-2020 04:00,12-03-2020 05:57,Bangalore South,442,HOMICIDE,50,F,Firearm,Other Crime,7,Yes,29-12-2020 20:00
1718,14-03-2020 15:00,03-12-2020 13:00,12-03-2020 19:42,Bangalore East,248,IDENTITY THEFT,38,F,None,Violent Crime,8,Yes,21-05-2020 15:00
1719,13-03-2020 22:00,03-12-2020 14:00,13-03-2020 07:44,Bangalore East,191,HOMICIDE,33,M,Firearm,Other Crime,18,Yes,28-11-2020 22:00
1728,13-03-2020 19:00,03-12-2020 23:00,13-03-2020 06:07,Bangalore North,570,SHOPLIFTING,48,F,Firearm,Other Crime,16,No,
1738,16-03-2020 07:00,03-13-2020 09:00,13-03-2020 21:42,Bangalore South,311,DRUG OFFENSE,21,F,Firearm,Other Crime,15,No,
1742,14-03-2020 05:00,03-13-2020 13:00,13-03-2020 18:13,Bangalore West,264,BURGLARY,49,F,None,Other Crime,17,Yes,03-09-2020 05:00
1757,14-03-2020 12:00,03-14-2020 04:00,14-03-2020 15:55,Bangalore West,421,HOMICIDE,79,M,Knife,Other Crime,9,No,
1781,16-03-2020 18:00,03-15-2020 04:00,15-03-2020 08:53,Bangalore North,400,KIDNAPPING,43,F,Blunt Object,Other Crime,7,Yes,24-03-2020 18:00
1782,17-03-2020 01:00,03-15-2020 05:00,15-03-2020 11:55,Bangalore East,146,SEXUAL ASSAULT,58,F,Poison,Violent Crime,2,No,
1790,17-03-2020 19:00,03-15-2020 13:00,15-03-2020 16:09,Bangalore West,163,ARSON,76,F,Knife,Fire Accident,7,No,
1801,16-03-2020 20:00,03-16-2020 00:00,16-03-2020 04:17,Bangalore North,449,SHOPLIFTING,12,M,Other,Other Crime,18,No,
1804,17-03-2020 01:00,03-16-2020 03:00,16-03-2020 20:55,Bangalore South,216,EXTORTION,22,F,Explosives,Other Crime,5,No,
1811,17-03-2020 05:00,03-16-2020 10:00,16-03-2020 16:11,Bangalore West,392,COUNTERFEITING,21,F,Other,Other Crime,17,No,
1832,19-03-2020 12:00,03-17-2020 07:00,17-03-2020 08:39,Bangalore West,381,VEHICLE - STOLEN,72,F,Firearm,Violent Crime,4,Yes,28-05-2020 12:00
1841,20-03-2020 11:00,03-17-2020 16:00,18-03-2020 06:06,Bangalore West,590,FIREARM OFFENSE,53,F,Poison,Fire Accident,12,No,
1847,19-03-2020 17:00,03-17-2020 22:00,18-03-2020 18:12,Bangalore North,427,EXTORTION,11,F,Knife,Other Crime,19,No,
1850,18-03-2020 18:00,03-18-2020 01:00,18-03-2020 20:12,Bangalore East,489,ILLEGAL POSSESSION,75,F,Explosives,Other Crime,5,Yes,25-04-2020 18:00
1877,20-03-2020 02:00,03-19-2020 04:00,19-03-2020 22:51,Bangalore West,498,HOMICIDE,10,F,Poison,Other Crime,1,No,
1939,23-03-2020 01:00,03-21-2020 18:00,22-03-2020 05:29,Bangalore South,433,IDENTITY THEFT,57,F,None,Violent Crime,11,Yes,24-04-2020 01:00
1940,22-03-2020 00:00,03-21-2020 19:00,22-03-2020 05:35,Bangalore North,345,HOMICIDE,60,M,Blunt Object,Other Crime,15,Yes,14-11-2020 00:00
1943,23-03-2020 06:00,03-21-2020 22:00,22-03-2020 01:46,Bangalore South,563,TRAFFIC VIOLATION,44,F,Explosives,Traffic Fatality,1,No,
1946,23-03-2020 16:00,03-22-2020 01:00,23-03-2020 00:05,Bangalore South,273,FRAUD,24,F,Blunt Object,Other Crime,19,Yes,11-04-2020 16:00
1955,22-03-2020 14:00,03-22-2020 10:00,23-03-2020 09:57,Bangalore West,345,COUNTERFEITING,10,F,Explosives,Other Crime,11,No,
1963,23-03-2020 00:00,03-22-2020 18:00,23-03-2020 14:29,Bangalore East,304,ARSON,27,F,Explosives,Fire Accident,5,Yes,06-06-2020 00:00
