areaType,availability,location,size,society,totalSqft,bath,balcony,price,region
Built-up  Area,Ready To Move,Shampura,4 BHK,,2650,4.0,2.0,150.0,Bangalore North
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,68.52,Bangalore North
Built-up  Area,Ready To Move,Kadugodi,2 BHK,,1050,2.0,1.0,34.0,Bangalore East
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3.0,2.0,65.0,Bangalore East
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,,945,2.0,1.0,54.0,Bangalore South
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2.0,1.0,78.0,Bangalore South
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,,950,7.0,0.0,115.0,Bangalore South
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3.0,3.0,110.0,Bangalore North
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,16.5,Bangalore South
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,,1200,4.0,0.0,210.0,Bangalore North
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,83.0,Bangalore South
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,57.0,Bangalore South
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0,Bangalore North
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005,Bangalore South
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,,1280,3.0,1.0,50.4,Bangalore South
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05,Bangalore South
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,,5000,8.0,,250.0,Bangalore North
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,213.0,Bangalore North
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,Bangalore South
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1000,2.0,1.0,60.0,Bangalore South
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,43.76,Bangalore South
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,,4000,7.0,2.0,225.0,Bangalore South
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3.0,,110.0,Bangalore North
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2.0,1.0,35.0,Bangalore South
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3.0,3.0,46.74,Bangalore South
Plot  Area,Ready To Move,Dinnur,6 Bedroom,,1034,5.0,,185.0,Bangalore North
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4.0,2.0,91.31,Bangalore South
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,58.0,Bangalore East
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,,1250,2.0,3.0,44.0,Bangalore South
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4.0,,235.0,Bangalore West
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2.0,2.0,50.0,Bangalore South
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,30.6,Bangalore South
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1200,2.0,2.0,50.0,Bangalore South
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3.0,3.0,135.0,Bangalore North
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3.0,1.0,145.0,Bangalore North
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,0.0,760.0,Bangalore South
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,1350,2.0,3.0,48.0,Bangalore South
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.0,Bangalore South
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,1.0,150.0,Bangalore South
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,4200,4.0,2.0,420.0,Bangalore East
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3.0,1.0,175.0,Bangalore North
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49,Bangalore South
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2.0,2.0,75.0,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,64.5,Bangalore South
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,60.0,Bangalore South
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2.0,2.0,70.0,Bangalore South
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,,1300,6.0,0.0,99.0,Bangalore North
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,11.0,Bangalore South
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,64.5,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2.0,1.0,56.0,Bangalore South
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3.0,3.0,65.0,Bangalore East
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,,600,3.0,2.0,85.0,Bangalore South
Plot  Area,Ready To Move,Nagavara,1 Bedroom,,400,1.0,0.0,14.0,Bangalore North
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1.0,2.0,67.0,Bangalore South
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,36.0,Bangalore South
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2.0,3.0,51.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3.0,2.0,155.0,Bangalore North
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3.0,2.0,145.0,Bangalore North
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3.0,2.0,110.0,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,52.0,Bangalore South
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,1846,3.0,2.0,300.0,Bangalore South
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1340,2.0,2.0,55.7,Bangalore North
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2.0,1.0,46.0,Bangalore South
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1015 - 1540,2.0,0.0,56.8,Bangalore East
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2.0,2.0,52.0,Bangalore East
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,,2250,4.0,1.0,110.0,Bangalore South
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2.0,3.0,80.0,Bangalore East
Plot  Area,Ready To Move,Bellandur,4 Bedroom,,1200,5.0,,325.0,Bangalore South
Plot  Area,Ready To Move,Ejipura,7 Bedroom,,1800,7.0,1.0,250.0,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2.0,2.0,60.0,Bangalore East
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2.0,2.0,98.0,Bangalore North
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1186,2.0,2.0,58.0,Bangalore North
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,,1783,3.0,1.0,115.0,Bangalore North
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3.0,2.0,56.0,Bangalore South
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,,980,2.0,1.0,48.0,Bangalore North
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,,1285,2.0,2.0,82.0,Bangalore East
Super built-up  Area,Ready To Move,Langford Town,3 BHK,,912,2.0,1.0,70.0,Bangalore South
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2.0,2.0,47.6,Bangalore East
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1075,2.0,1.0,53.0,Bangalore East
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260,2.0,2.0,54.0,Bangalore East
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2.0,2.0,48.7,Bangalore North
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909,3.0,2.0,88.0,Bangalore North
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359,2.0,1.0,87.0,Bangalore East
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,,1207,2.0,2.0,43.5,Bangalore South
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,,1736,6.0,0.0,190.0,Bangalore South
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,2850,4.0,1.0,428.0,Bangalore South
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595,3.0,2.0,65.0,Bangalore South
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,,1798,3.0,2.0,89.0,Bangalore South
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475,3.0,2.0,78.29,Bangalore South
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580,3.0,3.0,100.0,Bangalore South
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295,2.0,1.0,65.0,Bangalore West
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,,3600,6.0,0.0,141.0,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1.0,1.0,27.0,Bangalore South
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,,1415,3.0,3.0,78.0,Bangalore South
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,98.29,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,125.0,Bangalore South
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475,2.0,3.0,90.0,Bangalore South
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,,2000,4.0,1.0,75.5,Bangalore North
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984,2.0,1.0,44.28,Bangalore South
Super built-up  Area,19-Dec,Devanahalli,3 BHK,Jurdsig,1520 - 1740,,,74.82,Bangalore North
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,2405,4.0,2.0,260.0,Bangalore South
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2.0,2.0,72.0,Bangalore South
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,,1500,2.0,1.0,115.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,3 BHK,,1900,3.0,2.0,119.0,Bangalore North
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2.0,2.0,56.4,Bangalore North
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148,2.0,2.0,60.0,Bangalore East
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2.0,2.0,55.0,Bangalore South
Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100,2.0,2.0,42.0,Bangalore South
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290,2.0,2.0,110.0,Bangalore East
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,,1500,2.0,1.0,65.0,Bangalore North
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,,1080,2.0,2.0,39.0,Bangalore South
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933,3.0,1.0,129.0,Bangalore South
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,3500,5.0,2.0,150.0,Bangalore East
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,,1060,2.0,2.0,60.0,Bangalore South
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45,Bangalore South
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,,2600,8.0,2.0,180.0,Bangalore South
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45,Bangalore South
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644,3.0,3.0,84.0,Bangalore North
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285,2.0,3.0,72.5,Bangalore South
Plot  Area,Ready To Move,Electronic City,3 Bedroom,,1200,3.0,1.0,90.0,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910,2.0,1.0,40.0,Bangalore South
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577,3.0,1.0,70.0,Bangalore North
Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,4050,3.0,2.0,280.0,Bangalore South
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,2420,3.0,2.0,185.0,Bangalore East
Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,800,1.0,1.0,20.0,Bangalore South
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,1060,2.0,2.0,55.0,Bangalore East
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270,2.0,2.0,93.0,Bangalore South
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,,900,2.0,2.0,22.5,Bangalore South
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,,1280,2.0,1.0,69.0,Bangalore East
